PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THICK,PT_WIDTH,PT_LENGTH,PT_WEIGHT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,FUR_EXTEMP,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR
PB562950,2021-08-02:05:01:21,불량,BV-AH32,C0,19.62,2082,43753,42090,2호기,1열,1161,74,1162,54,311,1157,1016,적용,10,4조
PB562951,2021-08-02:05:08:31,불량,JS-SM490YA,C0,19.1,2040,38774,35580,2호기,2열,1172,72,1166,54,308,1152,1027,적용,10,3조
PB562952,2021-08-02:05:15:41,불량,JS-SM490YB,C0,20.1,2000,40846,64450,3호기,1열,1170,67,1166,64,307,1159,1035,적용,8,1조
PB562953,2021-08-02:05:22:51,불량,BV-AH32,C0,19.12,2102,43709,41370,3호기,2열,1147,56,1161,73,324,1150,1017,적용,10,3조
PB562954,2021-08-02:05:30:01,불량,JS-SM490YA,C0,19.1,2040,38774,35580,1호기,1열,1164,76,1162,69,318,1153,1029,적용,10,2조
PB562955,2021-08-02:05:37:11,불량,BV-B,C0,18.4,2200,43648,55480,1호기,2열,1166,80,1165,61,317,1160,1014,적용,10,4조
PB562956,2021-08-02:05:44:21,불량,KS-SM400B,C0,18.16,2350,42327,42540,2호기,1열,1156,66,1163,61,295,1151,1010,적용,10,2조
PB562957,2021-08-02:05:51:31,불량,BV-B,C0,18.11,2280,40384,39270,2호기,2열,1160,65,1165,61,304,1158,1015,적용,10,1조
PB562958,2021-08-02:05:58:41,양품,JS-SM490YB,C0,16.09,2221,43596,61150,3호기,1열,1169,64,1164,61,308,1155,0,적용,10,3조
PB562959,2021-08-02:06:05:51,양품,JS-SM490YB,C0,16.09,2221,43596,61150,3호기,2열,1163,57,1166,67,303,1158,0,적용,10,4조
PB562960,2021-08-02:06:13:01,양품,JS-SM490YB,C0,16.09,2221,43596,61150,1호기,1열,1166,68,1161,103,343,1150,999,적용,10,4조
PB562961,2021-08-02:06:20:11,양품,JS-SM490YB,C0,16.09,2262,43156,61650,1호기,2열,1176,85,1165,87,346,1150,1000,적용,10,2조
PB562962,2021-08-02:06:27:21,양품,KS-SS400,C0,20.1,2675,54279,45820,3호기,1열,1159,70,1157,89,293,1147,991,적용,8,1조
PB562963,2021-08-02:06:34:31,양품,KR-A,C0,22.66,2783,46379,91840,3호기,2열,1163,68,1159,83,291,1151,995,적용,8,4조
PB562964,2021-08-02:06:41:41,양품,KS-SM490B,C0,14.06,2784,50215,77150,2호기,1열,1143,59,1156,103,357,1144,945,적용,10,3조
PB562965,2021-08-02:06:48:51,양품,KS-SM490B,C0,14.06,2784,50281,77250,2호기,2열,1161,78,1157,83,308,1145,941,적용,10,4조
PB562966,2021-08-02:06:56:01,양품,AB/AH32,C0,16.09,2733,48841,67440,1호기,1열,1169,64,1158,94,328,1147,962,적용,10,2조
PB562967,2021-08-02:07:03:11,양품,LR-AH32,C0,15.59,2695,52998,34960,1호기,2열,1176,84,1163,78,327,1155,952,적용,10,1조
PB562968,2021-08-02:07:10:21,양품,KR-A,C0,22.66,2783,46379,91840,3호기,1열,1161,68,1156,85,290,1146,979,적용,8,1조
PB562969,2021-08-02:07:17:31,양품,KR-A,C0,22.66,2783,46379,91840,3호기,2열,1163,68,1158,85,288,1147,993,적용,8,3조
PB562970,2021-08-02:07:24:41,불량,JS-SM490A,C0,30.13,2288,30730,33260,2호기,2열,1167,81,1157,80,297,1149,1038,적용,8,4조
PB562971,2021-08-02:07:31:51,불량,NV-B,C0,30.24,2240,38947,20710,2호기,1열,1155,74,1153,92,350,1140,1004,적용,8,4조
PB562972,2021-08-02:07:39:01,불량,JS-SM490A,C0,30.13,2288,30730,33260,1호기,1열,1164,66,1158,92,304,1146,1022,적용,8,1조
PB562973,2021-08-02:07:46:11,불량,JS-SM490A,C0,30.13,2288,30730,33260,1호기,2열,1163,61,1159,87,308,1150,1024,적용,8,2조
PB562974,2021-08-02:07:53:21,불량,JS-SM490A,C0,30.13,2288,30730,33260,2호기,1열,1154,72,1155,85,276,1146,1029,적용,8,3조
PB562975,2021-08-02:08:00:31,불량,JS-SM490A,C0,40.16,2157,30705,41760,3호기,1열,1162,78,1156,78,284,1146,1043,적용,6,1조
PB562976,2021-08-02:08:07:41,불량,JS-SM490A,C0,40.16,2157,30705,41760,3호기,2열,1154,65,1156,96,288,1150,1046,적용,6,1조
PB562977,2021-08-02:08:14:51,불량,JS-SM490A,C0,30.13,2288,30730,33260,2호기,2열,1162,82,1156,92,310,1147,1035,적용,8,1조
PB562978,2021-08-02:08:22:01,불량,JS-SM490A,C0,30.13,2288,30730,33260,1호기,1열,1164,77,1157,95,289,1149,1031,적용,8,1조
PB562979,2021-08-02:08:29:11,불량,JS-SM490A,C0,30.13,2288,30730,33260,1호기,2열,1160,65,1158,88,278,1149,1032,적용,8,1조
PB562980,2021-08-02:08:36:21,불량,JS-SM490A,C0,30.13,2288,30730,33260,2호기,1열,1153,74,1155,94,285,1146,1020,적용,8,1조
PB562981,2021-08-02:08:43:31,불량,JS-SM490A,C0,30.13,2288,30730,33260,2호기,2열,1160,71,1157,97,294,1148,1012,적용,8,3조
PB562982,2021-08-02:08:50:41,불량,JS-SM490A,C0,30.13,2288,30730,33260,3호기,1열,1164,62,1159,84,279,1148,1034,적용,8,2조
PB562983,2021-08-02:08:57:51,불량,JS-SM490A,C0,30.13,2288,30730,33260,3호기,2열,1165,79,1158,85,291,1146,1032,적용,8,3조
PB562984,2021-08-02:09:05:01,불량,JS-SM490A,C0,30.13,2288,30730,33260,1호기,1열,1155,73,1154,93,284,1141,1022,적용,8,1조
PB562985,2021-08-02:09:12:11,불량,JS-SM490A,C0,30.13,2288,30730,33260,1호기,2열,1163,105,1159,51,284,1148,1034,적용,8,4조
PB562986,2021-08-02:09:19:21,불량,JS-SM490A,C0,30.13,2288,30730,33260,2호기,1열,1151,65,1155,90,277,1148,1031,적용,8,2조
PB562987,2021-08-02:09:26:31,불량,JS-SM490A,C0,40.16,2157,30705,41760,3호기,1열,1159,103,1155,52,271,1148,1053,적용,6,3조
PB562988,2021-08-02:09:33:41,불량,JS-SM490A,C0,40.16,2157,30705,41760,3호기,2열,1158,73,1156,91,290,1141,1053,적용,6,1조
PB562989,2021-08-02:09:40:51,불량,KR-A,C0,22.66,2339,34345,42870,2호기,2열,1143,67,1153,97,286,1148,1007,적용,8,1조
PB562990,2021-08-02:09:48:01,불량,KR-A,C0,22.66,2339,34345,42870,1호기,1열,1160,107,1156,60,285,1145,1006,적용,8,4조
PB562991,2021-08-02:09:55:11,양품,KR-A,C0,22.66,2339,34345,42870,1호기,2열,1153,91,1153,59,282,1142,997,적용,8,4조
PB562992,2021-08-02:10:02:21,불량,NV-A32,C0,20.13,2000,41861,26460,2호기,1열,1158,88,1153,53,279,1143,1002,적용,8,4조
PB562993,2021-08-02:10:09:31,불량,JS-SM490YB,C0,20.1,2231,42412,74650,2호기,2열,1155,95,1154,44,272,1147,986,적용,7,4조
PB562994,2021-08-02:10:16:41,불량,JS-SM490A,C0,40.16,2157,30705,41760,3호기,1열,1158,105,1154,52,270,1143,1043,적용,6,1조
PB562995,2021-08-02:10:23:51,불량,JS-SM490A,C0,40.16,2157,30705,41760,3호기,2열,1161,105,1155,58,281,1143,1029,적용,6,2조
PB562996,2021-08-02:10:31:01,불량,LR-AH32,C0,19.12,2329,36874,38670,1호기,1열,1159,99,1154,56,280,1147,1019,적용,10,2조
PB562997,2021-08-02:10:38:11,양품,LR-AH32,C0,19.12,2000,42940,38670,1호기,2열,1150,82,1150,58,279,1139,989,적용,10,2조
PB562998,2021-08-02:10:45:21,불량,JS-SM490YB,C0,20.1,2040,42841,55160,2호기,1열,1149,96,1149,44,267,1134,1021,적용,8,4조
PB562999,2021-08-02:10:52:31,양품,JS-SM490YB,C0,20.1,2219,36558,51200,2호기,2열,1151,98,1151,40,264,1146,996,적용,8,3조
PB563000,2021-08-02:10:59:41,불량,JS-SM490YB,C0,20.1,2040,42841,55160,3호기,1열,1154,91,1152,59,277,1138,1010,적용,8,1조
PB563001,2021-08-02:11:06:51,불량,JS-SM490YB,C0,20.1,2130,42995,72250,3호기,2열,1150,97,1151,60,277,1136,1012,적용,8,3조
PB563002,2021-08-02:11:14:01,불량,JS-SM490YB,C0,20.1,2221,41519,72750,1호기,1열,1154,101,1152,53,279,1142,1002,적용,7,2조
PB563003,2021-08-02:11:21:11,불량,JS-SM490A,C0,50.19,2503,18850,55770,1호기,2열,1132,93,1141,55,278,1132,1032,적용,6,4조
PB563004,2021-08-02:11:28:21,불량,KS-SM400A,C0,40,2463,21502,33260,2호기,1열,1139,101,1144,38,257,1138,1029,적용,6,1조
PB563005,2021-08-02:11:35:31,불량,JS-SS400,C0,40.16,2463,16858,39270,2호기,2열,1139,103,1147,51,267,1139,1034,적용,6,2조
PB563006,2021-08-02:11:42:41,불량,JS-SM490A,C0,38.16,2464,17856,39540,3호기,1열,1145,98,1150,60,274,1139,1048,적용,8,3조
PB563007,2021-08-02:11:49:51,불량,KS-SM490A,C0,30.13,2528,27327,32680,3호기,2열,1149,89,1152,54,273,1140,1019,적용,8,1조
PB563008,2021-08-02:11:57:01,불량,JS-SS400,C0,25.12,2466,31422,76400,1호기,1열,1145,101,1148,47,275,1139,1023,적용,8,3조
PB563009,2021-08-02:12:04:11,불량,NV-A,C0,25.18,2518,36325,36160,1호기,2열,1129,97,1137,46,260,1131,1020,적용,8,4조
PB563010,2021-08-02:12:11:21,불량,LR-A,C0,24.17,2577,41967,41040,2호기,1열,1135,96,1145,50,260,1136,1003,적용,8,3조
PB563011,2021-08-02:12:18:31,불량,KR-A,C0,22.66,2339,34345,42870,2호기,2열,1133,103,1144,44,261,1134,1011,적용,8,2조
PB563012,2021-08-02:12:25:41,불량,KR-A,C0,22.66,2339,34345,42870,3호기,1열,1135,88,1147,65,260,1134,1007,적용,8,2조
PB563013,2021-08-02:12:32:51,불량,KR-A,C0,22.66,2339,34345,42870,3호기,2열,1133,89,1148,63,269,1135,1005,적용,8,4조
PB563014,2021-08-02:12:40:01,양품,KR-A,C0,22.66,2339,34345,42870,1호기,1열,1139,64,1145,50,262,1137,998,적용,8,2조
PB563015,2021-08-02:12:47:11,불량,LR-AH32,C0,19.13,2529,36942,42090,1호기,2열,1133,61,1141,46,267,1134,1006,적용,10,4조
PB563016,2021-08-02:12:54:21,양품,LR-AH32,C0,19.63,2549,35718,14030,2호기,1열,1141,59,1147,48,257,1137,987,적용,10,4조
PB563017,2021-08-02:13:01:31,양품,JS-SM400B,C0,18.1,2520,42675,61120,2호기,2열,1128,104,1146,52,271,1135,980,적용,10,1조
PB563018,2021-08-02:13:08:41,불량,JS-SM490YB,C0,16.09,2559,37250,36120,3호기,1열,1138,57,1148,57,261,1142,968,적용,9,3조
PB563019,2021-08-02:13:15:51,양품,JS-SM490YB,C0,16.09,2559,37250,36120,3호기,2열,1140,107,1148,49,270,1135,973,적용,10,3조
PB563020,2021-08-02:13:23:01,불량,JS-SM490YB,C0,16.09,2559,37250,36120,1호기,1열,1153,67,1151,44,269,1138,976,미적용,10,3조
PB563021,2021-08-02:13:30:11,양품,NK-KA32,C0,15.08,2671,43613,13790,1호기,2열,1131,61,1138,47,258,1127,956,적용,10,1조
PB563022,2021-08-02:13:37:21,불량,JS-SM490YB,C0,16.09,2512,37380,35580,2호기,1열,1140,54,1149,50,257,1137,971,적용,9,1조
PB563023,2021-08-02:13:44:31,불량,JS-SM490YB,C0,16.09,2512,37380,35580,2호기,2열,1152,73,1153,35,264,1144,985,적용,9,4조
PB563024,2021-08-02:13:51:41,불량,JS-SM490YB,C0,16.09,2512,37380,35580,3호기,1열,1144,56,1150,59,273,1139,972,미적용,10,4조
PB563025,2021-08-02:13:58:51,양품,JS-SM490YB,C0,16.09,2512,37380,35580,3호기,2열,1149,71,1151,51,268,1146,973,적용,10,2조
PB563026,2021-08-02:14:06:01,양품,JS-SM490YB,C0,16.09,2512,37380,35580,1호기,1열,1145,62,1147,49,266,1140,968,적용,10,4조
PB563027,2021-08-02:14:13:11,양품,JS-SM490YB,C0,15.09,2471,42431,49680,1호기,2열,1121,60,1132,49,246,1123,969,적용,10,3조
PB563028,2021-08-02:14:20:21,양품,JS-SM490YB,C0,15.09,2471,42431,49680,2호기,1열,1138,58,1149,59,268,1135,973,적용,10,4조
PB563029,2021-08-02:14:27:31,양품,GL-A32,C0,15.08,2611,42641,52720,2호기,2열,1148,60,1152,43,268,1145,993,적용,10,3조
PB563030,2021-08-02:14:34:41,양품,BV-AH32,C0,15.08,2671,42126,39960,3호기,1열,1140,63,1149,62,267,1139,957,적용,10,3조
PB563031,2021-08-02:14:41:51,불량,KR-A,C0,21.15,2782,44880,82920,3호기,2열,1146,64,1151,62,267,1141,971,적용,7,1조
PB563032,2021-08-02:14:49:01,양품,JS-SS400,C0,22.15,2572,45995,82280,1호기,1열,1134,61,1140,55,267,1130,972,적용,8,1조
PB563033,2021-08-02:14:56:11,양품,KR-A,C0,21.15,2782,44880,82920,1호기,2열,1114,60,1130,58,254,1119,959,적용,8,1조
PB563034,2021-08-02:15:03:21,양품,KS-SM400B,C0,20,2682,46025,96900,2호기,1열,1136,57,1147,57,271,1142,956,적용,8,1조
PB563035,2021-08-02:15:10:31,양품,KS-SS400,C0,20.1,2533,48490,96900,2호기,2열,1135,55,1147,47,256,1134,958,적용,8,3조
PB563036,2021-08-02:15:17:41,양품,BV-AH32,C0,20.14,2477,43538,68200,3호기,1열,1137,75,1145,48,269,1136,976,적용,8,4조
PB563037,2021-08-02:15:24:51,양품,JS-SM490YB,C0,16.09,3094,41710,81500,3호기,2열,1133,68,1145,48,268,1136,913,적용,10,3조
PB563038,2021-08-02:15:32:01,양품,JS-SM490YB,C0,16.09,2813,49732,70680,1호기,1열,1137,61,1142,55,269,1136,945,적용,10,2조
PB563039,2021-08-02:15:39:11,양품,JS-SM490YB,C0,16.09,2813,49732,70680,1호기,2열,1125,53,1138,66,262,1131,934,적용,10,4조
PB563040,2021-08-02:15:46:21,양품,BV-B,C0,17.4,3015,38973,64200,2호기,1열,1110,64,1142,52,259,1132,951,적용,10,3조
PB563041,2021-08-02:15:53:31,양품,NV-A32,C0,17.1,3103,49216,41000,3호기,1열,1126,74,1147,55,265,1141,939,적용,10,4조
PB563042,2021-08-02:16:00:41,불량,BV-AH32,C0,17.1,2895,54218,63210,3호기,2열,1140,64,1154,54,270,1143,947,적용,9,1조
PB563043,2021-08-02:16:07:51,양품,JS-SM490YB,C0,18.1,3094,29435,51760,2호기,2열,1112,57,1145,57,263,1140,970,적용,10,3조
PB563044,2021-08-02:16:15:01,양품,JS-SM490YB,C0,18.1,3094,36532,80300,1호기,1열,1124,62,1139,57,272,1127,975,적용,10,1조
PB563045,2021-08-02:16:22:11,양품,JS-SM490YB,C0,18.1,3094,36532,80300,2호기,2열,1124,62,1148,52,245,1143,982,적용,10,4조
PB563046,2021-08-02:16:29:21,불량,JS-SM490YB,C0,18.1,3094,41786,91850,1호기,2열,1115,58,1136,64,259,1127,971,적용,9,4조
PB563047,2021-08-02:16:36:31,양품,JS-SM490YB,C0,18.1,3094,41786,91850,2호기,1열,1126,62,1152,59,252,1138,979,적용,10,3조
PB563048,2021-08-02:16:43:41,불량,JS-SS400,C0,25.12,3082,37449,91040,3호기,1열,1129,63,1151,58,264,1143,991,적용,7,3조
PB563049,2021-08-02:16:50:51,불량,AB/A,C0,23.16,3181,38991,45100,3호기,2열,1133,64,1154,56,257,1142,988,적용,7,4조
PB563050,2021-08-02:16:58:01,양품,JS-SM490YB,C0,20.1,3034,38978,74640,1호기,1열,1134,53,1143,58,264,1130,977,적용,8,2조
PB563051,2021-08-02:17:05:11,양품,JS-SM490A,C0,20.1,2934,37132,51570,1호기,2열,1115,51,1139,70,250,1131,983,적용,8,1조
PB563052,2021-08-02:17:12:21,양품,JS-SM490YB,C0,20.1,2864,37198,50430,2호기,1열,1141,63,1161,57,251,1152,995,적용,8,1조
PB563053,2021-08-02:17:19:31,양품,JS-SM490YB,C0,20.1,2864,37198,50430,2호기,2열,1149,49,1160,57,249,1152,985,적용,8,2조
PB563054,2021-08-02:17:26:41,양품,LR-AH32,C3,22.15,3133,32234,35120,3호기,1열,1130,66,1150,58,289,1139,984,적용,8,1조
PB563055,2021-08-02:17:33:51,양품,LR-AH36,C3,25.19,2998,31020,55170,3호기,2열,1140,66,1155,55,258,1148,899,적용,8,4조
PB563056,2021-08-02:17:41:01,양품,JS-SS400,C0,25.12,3082,37449,91040,3호기,1열,1142,62,1158,56,262,1147,992,적용,8,3조
PB563057,2021-08-02:17:48:11,양품,A709-36,C0,26.24,2800,28920,33360,1호기,1열,1150,63,1154,59,264,1146,993,적용,8,2조
PB563058,2021-08-02:17:55:21,양품,JS-SM490A,C0,24.11,3034,20723,23800,1호기,2열,1135,53,1149,73,264,1134,987,적용,8,2조
PB563059,2021-08-02:18:02:31,양품,NV-A,C0,25.18,2881,40423,46040,3호기,2열,1144,63,1159,58,265,1152,989,적용,8,3조
PB563060,2021-08-02:18:09:41,양품,NV-A,C0,24.18,2848,31724,17150,2호기,2열,1136,49,1160,71,262,1149,976,적용,8,4조
PB563061,2021-08-02:18:16:51,양품,JS-SM490A,C0,30.13,3082,25145,73320,2호기,1열,1172,74,1166,59,262,1157,972,적용,8,1조
PB563062,2021-08-02:18:24:01,불량,JS-SS400,C0,38.16,3077,18996,35020,1호기,1열,1168,68,1163,57,262,1149,1009,적용,8,1조
PB563063,2021-08-02:18:31:11,불량,KS-SM490B,C0,30.13,3478,28166,46340,3호기,1열,1145,65,1159,53,259,1149,1009,적용,7,1조
PB563064,2021-08-02:18:38:21,불량,AB/A,C0,25.18,3379,32519,65160,3호기,2열,1137,52,1167,66,260,1154,989,미적용,8,1조
PB563065,2021-08-02:18:45:31,양품,BV-B,C0,20.44,3280,37811,59700,1호기,2열,1133,61,1149,76,264,1140,970,적용,8,1조
PB563066,2021-08-02:18:52:41,양품,LR-B,C0,20.43,3209,34217,17610,2호기,1열,1144,65,1161,63,264,1153,987,적용,8,4조
PB563067,2021-08-02:18:59:51,양품,BV-B,C0,20.43,3269,34486,54240,2호기,2열,1142,58,1162,70,272,1155,981,적용,8,3조
PB563068,2021-08-02:19:07:01,양품,LR-A,C0,20.63,3433,38779,64680,1호기,2열,1126,57,1144,68,224,1129,972,적용,8,3조
PB563069,2021-08-02:19:14:11,양품,BV-AH32,C0,19.63,3297,28717,29180,1호기,1열,1176,68,1168,58,269,1155,960,적용,10,3조
PB563070,2021-08-02:19:21:21,양품,BV-AH32,C0,19.63,3297,29012,29480,2호기,2열,1168,64,1168,61,268,1160,979,적용,10,3조
PB563071,2021-08-02:19:28:31,불량,BV-B,C0,19.13,3276,42869,63270,2호기,1열,1157,63,1161,62,224,1155,975,적용,9,1조
PB563072,2021-08-02:19:35:41,양품,BV-B,C0,19.13,3281,42702,84160,3호기,1열,1158,73,1166,56,234,1151,980,적용,10,4조
PB563073,2021-08-02:19:42:51,양품,LR-B,C0,19.12,3586,41023,44160,3호기,2열,1176,72,1169,55,269,1154,976,적용,10,1조
PB563074,2021-08-02:19:50:01,양품,BV-AH32,C0,19.63,3297,28815,29280,1호기,1열,1162,72,1159,56,238,1154,975,적용,10,3조
PB563075,2021-08-02:19:57:11,양품,LR-AH32,C0,18.11,3231,42474,19510,1호기,2열,1158,65,1159,68,239,1154,971,적용,10,2조
PB563076,2021-08-02:20:04:21,불량,NV-B,C0,17.6,3571,43172,63900,2호기,1열,1158,71,1168,56,221,1157,962,적용,9,4조
PB563077,2021-08-02:20:11:31,불량,AB/B,C0,18.11,3599,34418,35220,2호기,2열,1115,57,1160,71,236,1151,964,미적용,10,3조
PB563078,2021-08-02:20:18:41,양품,BV-B,C0,16.39,3299,36847,31280,3호기,1열,1165,72,1164,56,233,1151,969,적용,10,2조
PB563079,2021-08-02:20:25:51,양품,LR-B,C0,16.09,3500,38907,51600,3호기,2열,1155,71,1164,56,233,1153,945,적용,10,2조
PB563080,2021-08-02:20:33:01,양품,AB/B,C0,14.07,3435,54218,82280,1호기,1열,1145,61,1155,68,229,1150,886,적용,10,2조
PB563081,2021-08-02:20:40:11,양품,LR-AH32,C0,13.06,3352,48799,33540,1호기,2열,1134,68,1149,75,240,1143,898,적용,10,2조
PB563082,2021-08-02:20:47:21,불량,LR-B,C0,13.06,3495,53947,77320,2호기,1열,1172,78,1171,48,227,1165,923,적용,9,4조
PB563083,2021-08-02:20:54:31,양품,NV-A32,C0,13.06,3505,54016,19410,3호기,1열,1169,64,1170,61,235,1157,929,적용,10,3조
PB563084,2021-08-02:21:01:41,양품,KR-AH32,C0,13.56,3345,53726,38260,3호기,2열,1172,68,1173,57,228,1163,916,적용,10,4조
PB563085,2021-08-02:21:08:51,양품,LR-AH32,C0,12.05,3405,41199,26540,2호기,2열,1175,76,1174,58,230,1166,907,적용,10,1조
PB563086,2021-08-02:21:16:01,양품,LR-AH32,C0,12.05,3405,41199,26540,1호기,1열,1184,72,1174,58,229,1169,905,적용,10,1조
PB563087,2021-08-02:21:23:11,양품,NK-KA32,C0,12.05,3310,42701,13370,1호기,2열,1183,63,1173,69,239,1163,911,적용,10,3조
PB563088,2021-08-02:21:30:21,양품,AB/B,C0,13.06,3201,43209,56720,2호기,1열,1174,73,1170,51,229,1155,937,적용,10,4조
PB563089,2021-08-02:21:37:31,양품,NV-B,C0,17.6,3579,36988,54870,2호기,2열,1184,91,1169,53,231,1163,964,적용,10,2조
PB563090,2021-08-02:21:44:41,양품,BV-B,C0,17.4,3279,35031,47070,3호기,1열,1168,72,1167,64,243,1161,984,적용,10,4조
PB563091,2021-08-02:21:51:51,양품,LR-B,C0,19.12,3586,41023,44160,3호기,2열,1175,75,1170,60,241,1164,993,적용,10,1조
PB563092,2021-08-02:21:59:01,양품,LR-B,C0,19.12,3586,41023,44160,3호기,1열,1186,73,1172,53,235,1164,993,적용,10,2조
PB563093,2021-08-02:22:06:11,양품,BV-B,C0,18.11,3387,29573,14240,1호기,1열,1174,62,1169,70,237,1158,993,적용,10,1조
PB563094,2021-08-02:22:13:21,양품,BV-B,C0,19.12,3277,28728,28260,1호기,2열,1181,66,1169,70,238,1162,998,적용,10,4조
PB563095,2021-08-02:22:20:31,양품,AB/B,C0,19.12,3506,27060,28480,2호기,2열,1180,77,1168,64,233,1161,988,적용,10,2조
PB563096,2021-08-02:22:27:41,양품,BV-B,C0,20.43,3575,37691,64830,3호기,2열,1178,75,1167,57,238,1162,977,적용,8,3조
PB563097,2021-08-02:22:34:51,양품,LR-A,C0,21.64,3433,36798,64380,2호기,1열,1175,75,1167,64,245,1158,973,적용,8,1조
PB563098,2021-08-02:22:42:01,양품,BV-B,C0,20.13,3575,39279,66570,3호기,1열,1181,70,1172,50,230,1157,978,적용,8,2조
PB563099,2021-08-02:22:49:11,양품,BV-B,C0,20.13,3575,39279,66570,3호기,2열,1177,61,1170,60,232,1156,993,적용,8,4조
PB563100,2021-08-02:22:56:21,불량,NV-A,C0,24.17,3651,24006,33260,1호기,1열,1158,62,1161,75,244,1147,1004,적용,8,1조
PB563101,2021-08-02:23:03:31,불량,LR-A,C0,21.94,3813,31962,20990,2호기,1열,1166,71,1165,61,242,1151,951,미적용,8,4조
PB563102,2021-08-02:23:10:41,양품,LR-A,C0,21.94,3810,21213,13920,2호기,2열,1158,68,1166,73,243,1159,955,적용,8,3조
PB563103,2021-08-02:23:17:51,양품,LR-A,C0,21.64,3685,34777,43540,1호기,2열,1150,70,1157,84,249,1146,966,적용,8,3조
PB563104,2021-08-02:23:25:01,불량,NV-A,C0,21.64,3685,34777,43540,1호기,2열,1165,68,1164,75,242,1158,991,미적용,8,4조
PB563105,2021-08-02:23:32:11,양품,NV-A,C0,21.64,3685,34777,43540,2호기,1열,1189,70,1174,60,242,1159,997,적용,8,1조
PB563106,2021-08-02:23:39:21,불량,LR-A,C0,21.64,3685,34777,43540,3호기,1열,1191,68,1176,52,234,1166,998,적용,7,2조
PB563107,2021-08-02:23:46:31,양품,NV-A,C0,21.64,3685,34777,43540,3호기,2열,1146,61,1162,66,251,1148,987,적용,8,3조
PB563108,2021-08-02:23:53:41,양품,BV-B,C0,19.42,3720,37753,64230,1호기,2열,1174,72,1168,67,237,1157,990,적용,10,3조
PB563109,2021-08-03:00:00:51,양품,BV-B,C0,20.42,3770,38522,69840,3호기,1열,1183,81,1170,44,234,1158,982,적용,8,2조
PB563110,2021-08-03:00:08:01,불량,LR-AH32,C0,17.6,3733,32787,16910,1호기,1열,1190,70,1177,73,243,1162,973,적용,9,2조
PB563111,2021-08-03:00:15:11,불량,LR-B,C0,17.09,3648,33448,32740,2호기,2열,1189,73,1176,49,231,1161,949,적용,10,4조
PB563112,2021-08-03:00:22:21,불량,LR-B,C0,17.4,3615,40403,39900,2호기,1열,1173,66,1176,55,245,1169,951,적용,10,1조
PB563113,2021-08-03:00:29:31,양품,LR-AH32,C0,15.58,3722,47472,64830,3호기,2열,1169,76,1165,53,240,1153,925,적용,10,1조
PB563114,2021-08-03:00:36:41,양품,A516-60,C0,12.8,3871,49414,76880,1호기,1열,1183,73,1175,66,244,1164,904,적용,10,2조
PB563115,2021-08-03:00:43:51,불량,A516-60,C0,12.8,3871,49414,76880,1호기,2열,1184,72,1173,67,248,1162,904,미적용,10,3조
PB563116,2021-08-03:00:51:01,양품,NV-A,C0,12.03,4295,41641,50670,2호기,1열,1169,70,1169,43,250,1163,900,적용,10,2조
PB563117,2021-08-03:00:58:11,양품,NV-A,C0,13.54,4333,50765,70140,3호기,1열,1144,71,1156,56,250,1143,892,적용,10,3조
PB563118,2021-08-03:01:05:21,양품,NV-A,C0,14.05,4153,50584,69510,3호기,2열,1150,72,1159,55,252,1153,909,적용,10,3조
PB563119,2021-08-03:01:12:31,양품,BV-AH32,C0,16.059,4570,24075,27740,2호기,2열,1174,71,1167,58,261,1153,933,적용,10,1조
PB563120,2021-08-03:01:19:41,불량,AB/B,C0,18.09,4266,24447,29620,1호기,1열,1191,78,1179,50,244,1173,966,적용,10,2조
PB563121,2021-08-03:01:26:51,양품,LR-A,C0,18.09,4373,28583,35500,1호기,2열,1149,67,1156,64,257,1147,954,적용,10,3조
PB563122,2021-08-03:01:34:01,불량,LR-AH32,C0,20.1,4528,20729,14810,2호기,1열,1154,77,1160,50,256,1151,961,적용,7,1조
PB563123,2021-08-03:01:41:11,양품,LR-AH32,C0,20.1,4528,20729,14810,2호기,2열,1163,82,1160,53,257,1151,959,적용,8,4조
PB563124,2021-08-03:01:48:21,양품,LR-A,C0,21.43,4058,30220,41260,3호기,1열,1139,64,1158,64,258,1153,966,적용,8,1조
PB563125,2021-08-03:01:55:31,불량,KR-A,C0,24.14,4490,20884,17770,3호기,2열,1149,63,1164,65,244,1151,976,적용,7,1조
PB563126,2021-08-03:02:02:41,양품,LR-A,C0,23.66,4087,28336,43020,1호기,1열,1169,70,1168,59,246,1156,989,적용,8,4조
PB563127,2021-08-03:02:09:51,양품,LR-A,C0,23.96,4055,18867,14390,1호기,2열,1158,86,1156,57,260,1145,985,적용,8,2조
PB563128,2021-08-03:02:17:01,양품,LR-A,C0,23.64,4575,17314,14700,2호기,1열,1146,75,1157,52,258,1146,957,적용,8,2조
PB563129,2021-08-03:02:24:11,양품,LR-A,C0,23.64,4575,17314,14700,2호기,2열,1160,77,1160,64,253,1148,956,적용,8,4조
PB563130,2021-08-03:02:31:21,양품,NV-A,C0,15.57,4086,26951,13460,3호기,1열,1195,65,1174,64,245,1160,942,적용,10,2조
